Category #,Category,Category slug,Standard,Sub-category,Sub-category slug
1,Earthmoving & Excavation,earthmoving-excavation,,Excavators (mini & standard),excavators
1,Earthmoving & Excavation,earthmoving-excavation,,Backhoe loaders,backhoe-loaders
1,Earthmoving & Excavation,earthmoving-excavation,,Dozers,dozers
1,Earthmoving & Excavation,earthmoving-excavation,,Skid steers & compact track loaders,skid-steers-ctl
1,Earthmoving & Excavation,earthmoving-excavation,,Wheel loaders,wheel-loaders
1,Earthmoving & Excavation,earthmoving-excavation,,Motor graders,motor-graders
1,Earthmoving & Excavation,earthmoving-excavation,,Trenchers,trenchers
1,Earthmoving & Excavation,earthmoving-excavation,,Scrapers,scrapers
1,Earthmoving & Excavation,earthmoving-excavation,,"Attachments (buckets, breakers, augers, grapples)",earthmoving-attachments
2,Compaction & Paving,compaction-paving,,Plate compactors,plate-compactors
2,Compaction & Paving,compaction-paving,,Rammers (jumping jacks),rammers
2,Compaction & Paving,compaction-paving,,Walk-behind rollers,walk-behind-rollers
2,Compaction & Paving,compaction-paving,,Ride-on rollers,ride-on-rollers
2,Compaction & Paving,compaction-paving,,Asphalt pavers,asphalt-pavers
2,Compaction & Paving,compaction-paving,,Milling machines,milling-machines
2,Compaction & Paving,compaction-paving,,Asphalt distributors,asphalt-distributors
2,Compaction & Paving,compaction-paving,,Concrete & asphalt saws,concrete-asphalt-saws
2,Compaction & Paving,compaction-paving,,Sealcoating & line striping equipment,sealcoating-striping
3,Aerial Lifts & Access,aerial-lifts-access,ANSI A92,Scissor lifts (electric & rough terrain),scissor-lifts
3,Aerial Lifts & Access,aerial-lifts-access,ANSI A92,Articulating boom lifts,articulating-boom-lifts
3,Aerial Lifts & Access,aerial-lifts-access,ANSI A92,Telescopic boom lifts,telescopic-boom-lifts
3,Aerial Lifts & Access,aerial-lifts-access,ANSI A92,Towable boom lifts,towable-boom-lifts
3,Aerial Lifts & Access,aerial-lifts-access,ANSI A92,Personnel & vertical mast lifts,mast-lifts
3,Aerial Lifts & Access,aerial-lifts-access,ANSI A92,Telehandlers,telehandlers
3,Aerial Lifts & Access,aerial-lifts-access,ANSI A92,Material lifts & hoists,material-lifts-hoists
4,"Cranes, Hoists & Rigging",cranes-hoists-rigging,OSHA 1926 subpart CC,Mobile & truck cranes,mobile-truck-cranes
