Category #,Category,Category slug,MasterFormat Div,Sub-category,Sub-category slug
1,Lumber & Composites,lumber-composites,Div 06,Dimensional lumber,dimensional-lumber
1,Lumber & Composites,lumber-composites,Div 06,Studs,studs
1,Lumber & Composites,lumber-composites,Div 06,Timbers & posts,timbers-posts
1,Lumber & Composites,lumber-composites,Div 06,Pressure-treated lumber,pressure-treated-lumber
1,Lumber & Composites,lumber-composites,Div 06,"Engineered lumber (LVL, LSL, glulam)",engineered-lumber
1,Lumber & Composites,lumber-composites,Div 06,I-joists & trusses,i-joists-trusses
1,Lumber & Composites,lumber-composites,Div 06,Plywood,plywood
1,Lumber & Composites,lumber-composites,Div 06,OSB & sheathing,osb-sheathing
1,Lumber & Composites,lumber-composites,Div 06,Wood decking,wood-decking
1,Lumber & Composites,lumber-composites,Div 06,Composite & PVC decking,composite-pvc-decking
1,Lumber & Composites,lumber-composites,Div 06,Trim & moulding,trim-moulding
2,"Concrete, Cement & Masonry",concrete-cement-masonry,"Div 03, 04",Ready-mix concrete,ready-mix-concrete
2,"Concrete, Cement & Masonry",concrete-cement-masonry,"Div 03, 04",Bagged concrete & cement,bagged-concrete-cement
2,"Concrete, Cement & Masonry",concrete-cement-masonry,"Div 03, 04",Mortar & grout,mortar-grout
2,"Concrete, Cement & Masonry",concrete-cement-masonry,"Div 03, 04",Rebar & wire mesh,rebar-wire-mesh
2,"Concrete, Cement & Masonry",concrete-cement-masonry,"Div 03, 04",Concrete block (CMU),concrete-block-cmu
2,"Concrete, Cement & Masonry",concrete-cement-masonry,"Div 03, 04",Brick,brick
2,"Concrete, Cement & Masonry",concrete-cement-masonry,"Div 03, 04",Pavers,pavers
2,"Concrete, Cement & Masonry",concrete-cement-masonry,"Div 03, 04",Retaining wall block,retaining-wall-block
2,"Concrete, Cement & Masonry",concrete-cement-masonry,"Div 03, 04",Natural & manufactured stone,natural-manufactured-stone
2,"Concrete, Cement & Masonry",concrete-cement-masonry,"Div 03, 04",Admixtures,admixtures
2,"Concrete, Cement & Masonry",concrete-cement-masonry,"Div 03, 04",Forms & form accessories,forms-accessories
2,"Concrete, Cement & Masonry",concrete-cement-masonry,"Div 03, 04",Sealers & curing compounds,sealers-curing-compounds
3,Drywall & Interior Finishes,drywall-interior-finishes,Div 09,Drywall panels,drywall-panels
